num_young_drivers,age,num_of_children,years_job_held_for,income,value_of_home,commute_dist,vehicle_value,policy_tenure,5_year_total_claims_value,5_year_num_of_claims,license_points,vehicle_age,highest_education,single_parent,married,gender,type_of_use,licence_revoked,address_type,occupation_Clerical,occupation_Doctor,occupation_Home Maker,occupation_Lawyer,occupation_Manager,occupation_Professional,occupation_Student,vehicle_type_Panel Truck,vehicle_type_Pickup,vehicle_type_SUV,vehicle_type_Sports Car,vehicle_type_Van
0.0,57.0,0.0,6.0,183.59466223177623,0.0,6.324555320336759,84.8528137423857,3.1622776601683795,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,41.0,3.0,14.0,131.60927019021113,331.41363882616537,4.898979485566356,80.8084154033477,2.0,0.0,0.0,1.7320508075688772,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,29.0,2.0,12.0,233.04506002058915,417.29965252801253,6.244997998398398,38.72983346207417,2.0,5419.0,1.0,2.23606797749979,6.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,1.0,13.0,250.77081169865045,449.64207988132074,4.242640687119285,149.1978552124661,1.0,5290.0,1.0,2.449489742783178,6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.0,0.0,8.0,339.38473742936645,559.3630305981975,5.0,73.48469228349535,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,56.0,0.0,12.0,279.80528944249784,0.0,6.164414002968976,154.95160534825058,3.3166247903554,11445.0,3.0,2.23606797749979,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,48.0,0.0,12.0,205.31926358722407,0.0,7.0710678118654755,108.07404868885037,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,34.0,5.0,15.0,127.14951828457707,0.0,8.12403840463596,80.7465169527454,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,49.0,0.0,7.0,259.34147373684755,471.2112052997042,5.291502622129181,147.5127113166862,2.449489742783178,0.0,0.0,1.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,37.0,1.0,7.0,132.62352732452865,364.20461282087024,7.14142842854285,96.79876032264049,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,44.0,0.0,0.0,0.0,311.5124395590006,6.0,38.72983346207417,2.6457513110645907,0.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,36.0,2.0,13.0,141.1878181713989,354.4321413996519,4.123105625617661,103.87492478938312,2.449489742783178,7797.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,48.0,0.0,7.0,338.92329515688357,548.1368442277895,2.23606797749979,79.37253933193772,2.0,5933.0,2.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,52.0,0.0,13.0,378.47324872439793,604.0902250492057,6.557438524302,152.77434339574168,1.0,4749.0,3.0,2.23606797749979,10.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,65.0,0.0,15.0,149.93665329064805,357.23521662904403,3.7416573867739413,106.4894360957931,3.0,33075.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,50.0,0.0,10.0,318.2703253525217,539.8388648476506,2.6457513110645907,144.29137188342204,1.7320508075688772,0.0,0.0,1.0,10.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,49.0,0.0,8.0,219.0091322296858,400.0612453112648,6.4031242374328485,115.80155439371269,2.0,11389.0,4.0,2.0,14.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,0.0,12.0,195.9387659448737,458.3001200087122,7.211102550927978,99.69954864491613,2.0,5629.0,1.0,1.4142135623730951,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,40.0,0.0,12.0,47.843494855622744,0.0,4.58257569495584,75.69676347110224,2.0,0.0,0.0,1.4142135623730951,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,59.0,0.0,11.0,352.092317439617,589.4217505318242,5.916079783099616,177.5950449759227,1.0,0.0,0.0,1.0,10.142857142857142,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
